idx;name;geometryType;count;url
74;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_utilisant_de_toilette_améliorées_1_WFL1/FeatureServer/1
75;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_utilisant_de_toilette_améliorées_1_WFL1/FeatureServer/2
76;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_personnes_souffrant_maladies_chroniques_9_WFL1/FeatureServer/0
77;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_des_ménages_ayant_au_moins_un_membre_avec_assurance_maladie_9_WFL1/FeatureServer/0
78;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_éliminant_leurs_ordures_ménagères_dans_la_rue_WFL1/FeatureServer/0
79;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_éliminant_leurs_ordures_ménagères_dans_la_rue_WFL1/FeatureServer/1
80;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_éliminant_leurs_ordures_ménagères_dans_la_rue_WFL1/FeatureServer/2
81;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_utilisant_des_toilettes_partagées_WFL1/FeatureServer/0
82;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_utilisant_des_toilettes_partagées_WFL1/FeatureServer/1
83;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_utilisant_des_toilettes_partagées_WFL1/FeatureServer/2
84;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_ménages_sans_toilettes5555_WFL1/FeatureServer/0
85;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_ménages_sans_toilettes5555_WFL1/FeatureServer/1
86;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_ménages_sans_toilettes5555_WFL1/FeatureServer/2
87;Jardin d'enfant;esriGeometryPoint;178;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/0
